nama,hex,r,g,b,warna_dasar
Merah  Indian,#CD5C5C,205,92,92,merah
Koral  terang,#F08080,240,128,128,merah
Salmon,#FA8072,250,128,114,merah
Salmon  gelap,#E9967A,233,150,122,merah
Salmon  terang,#FFA07A,255,160,122,merah
Krimson,#DC143C,220,20,60,merah
Merah,#FF0000,255,0,0,merah
Merah  Bata,#B22222,178,34,34,merah
Merah  tua,#8B0000,139,0,0,merah
Merah  muda,#FFC0CB,255,192,203,merah jambu
Merah  muda terang,#FFB6C1,255,182,193,merah jambu
Merah  muda panas,#FF69B4,255,105,180,merah jambu
Merah  muda dalam,#FF1493,255,20,147,merah jambu
MediumVioletRed,#C71585,199,21,133,merah jambu
PaleVioletRed,#DB7093,219,112,147,merah jambu
Salmon  terang,#FFA07A,255,160,122,oranye
Koral,#FF7F50,255,127,80,oranye
Tomat,#FF6347,255,99,71,oranye
Merah  oranye,#FF4500,255,69,0,oranye
Jingga  tua,#FF8C00,255,140,0,oranye
Jingga,#FFA500,255,165,0,oranye
Emas,#FFD700,255,215,0,kuning
Kuning,#FFFF00,255,255,0,kuning
Kuning  terang,#FFFFE0,255,255,224,kuning
LemonChiffon,#FFFACD,255,250,205,kuning
LightGoldenrodYellow,#FAFAD2,250,250,210,kuning
PapayaWhip,#FFEFD5,255,239,213,kuning
Moccasin,#FFE4B5,255,228,181,kuning
PeachPuff,#FFDAB9,255,218,185,kuning
PaleGoldenrod,#EEE8AA,238,232,170,kuning
Khaki,#F0E68C,240,230,140,kuning
DarkKhaki,#BDB76B,189,183,107,kuning
Lavender,#E6E6FA,230,230,250,ungu
Thistle,#D8BFD8,216,191,216,ungu
Plum,#DDA0DD,221,160,221,ungu
Violet,#EE82EE,238,130,238,ungu
Orchid,#DA70D6,218,112,214,ungu
Fuchsia,#FF00FF,255,0,255,ungu
Magenta,#FF00FF,255,0,255,ungu
MediumOrchid,#BA55D3,186,85,211,ungu
MediumPurple,#9370DB,147,112,219,ungu
BlueViolet,#8A2BE2,138,43,226,ungu
DarkViolet,#9400D3,148,0,211,ungu
DarkOrchid,#9932CC,153,50,204,ungu
DarkMagenta,#8B008B,139,0,139,ungu
Ungu,#800080,128,0,128,ungu
Indigo,#4B0082,75,0,130,ungu
SlateBlue,#6A5ACD,106,90,205,ungu
DarkSlateBlue,#483D8B,72,61,139,ungu
GreenYellow,#ADFF2F,173,255,47,hijau
Chartreuse,#7FFF00,127,255,0,hijau
LawnGreen,#7CFC00,124,252,0,hijau
Lime,#00FF00,0,255,0,hijau
LimeGreen,#32CD32,50,205,50,hijau
PaleGreen,#98FB98,152,251,152,hijau
LightGreen,#90EE90,144,238,144,hijau
MediumSpringGreen,#00FA9A,0,250,154,hijau
SpringGreen,#00FF7F,0,255,127,hijau
MediumSeaGreen,#3CB371,60,179,113,hijau
SeaGreen,#2E8B57,46,139,87,hijau
ForestGreen,#228B22,34,139,34,hijau
